EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2953008;2;01/09/1946;1;29,1;29,1;22;1;1;1;0;1137,30004882812;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,1;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/10/1946;1;125;251,8;13;5;1;1;0;1137,30004882812;1;0;0;21;0;61;0;0;0;0;0;0;0;125;0;23,8;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/11/1946;1;28,3;69,6;28;3;1;1;0;1137,30004882812;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,1;0;0;26,2;0;0;28,3;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/12/1946;1;101,3;284;14;5;1;1;0;1137,30004882812;1;0;0;0;0;18,3;0;0;0;0;0;98,1;0;30,2;101,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36,1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/01/1947;1;26,2;67,7;14;4;1;1;0;;0;0;0;0;0;0;0;0;0;23,1;8,3;0;0;0;26,2;0;10,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/02/1947;1;39,1;70,7;9;4;1;1;0;;0;0;0;0;8,2;0;0;0;0;39,1;15,3;0;0;0;0;0;0;0;0;0;0;8,1;0;0;0;0;0;0;0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
2953008;2;01/04/1947;1;8,1;11,3;17;2;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,1;0;0;0;0;0;0;0;0;0;0;0;0;3,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/05/1947;1;122,1;219,9;17;5;1;1;0;;0;0;0;0;0;0;0;0;0;5,2;0;0;0;0;0;0;71,2;122,1;15,3;0;0;0;0;6,1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/06/1947;1;29,1;86,1;28;6;1;1;0;;0;0;0;0;0;0;0;0;0;0;11,2;0;9,2;7,1;0;0;17,2;12,3;0;0;0;0;0;0;0;0;0;0;29,1;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/07/1947;1;7,4;10,5;2;2;1;1;0;;0;0;7,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,1;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/08/1947;1;12,1;40,1;26;5;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,1;4,3;0;12,1;6,3;0;0;0;7,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/09/1947;1;62,1;121,3;29;7;1;1;0;;0;0;0;0;0;0;0;0;0;11,1;0;0;0;0;9,1;0;0;12,3;11,1;9,3;0;0;0;6,3;0;0;0;0;0;62,1;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/10/1947;1;0;0;1;;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/11/1947;1;10,2;10,2;21;1;1;1;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,2;0;0;0;0;0;0;0;0;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2953008;2;01/12/1947;1;29,1;65,2;9;5;1;1;0;;0;0;0;0;0;0;0;0;0;29,1;0;20,3;0;0;0;0;0;0;4,3;0;0;0;6,4;0;0;0;0;5,1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/01/1948;1;51,2;72,1;9;5;1;1;0;891,099975585938;2;0;0;0;4,1;0;0;0;0;51,2;0;0;0;4,3;0;0;0;0;0;0;6,3;0;0;0;0;0;6,2;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
2953008;2;01/02/1948;1;41;91,5;25;6;1;1;0;891,099975585938;2;18,1;0;0;0;12;0;0;0;0;0;0;0;0;7,1;5,2;0;0;0;0;8,1;0;0;0;0;41;0;0;0;0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
2953008;2;01/03/1948;1;18,1;37,9;29;4;1;1;0;891,099975585938;2;0;0;0;0;0;0;10,1;0;0;3,2;0;0;0;0;0;0;0;0;0;0;0;0;0;6,5;0;0;0;0;18,1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
